quality,visual_family,narrative_state,audit_seed,rotation,target_footprint,placed_footprint,max_height,placed_height_span,block_count,non_air_block_count,block_entity_count_vanilla,block_entity_count_with_domum,domum_material_block_entity_count,container_count,min_relative_x,max_relative_x,min_relative_y,max_relative_y,min_relative_z,max_relative_z,footprint_x,footprint_z,cross_chunk_writes,measurement_status,shelter_shell_block_count,domum_share_of_shelter_shell_percent,biome_geometry_block_count
POOR,SNOWY,ABANDONED,0x51A7E5EED,CLOCKWISE_180,11,11,5,5,145,109,2,9,7,1,-5,5,-1,3,-5,5,11,11,0,STATIC_COMPOSER_MODEL,33,21.21,2
POOR,WETLAND,WEATHERED,0x51A7E5EED,CLOCKWISE_180,11,11,5,5,152,115,2,9,7,1,-5,5,-1,3,-5,5,11,11,0,STATIC_COMPOSER_MODEL,27,25.93,0
POOR,TROPICAL,ABANDONED,0x51A7E5EED,CLOCKWISE_180,11,11,5,5,151,115,2,9,7,1,-5,5,-1,3,-5,5,11,11,0,STATIC_COMPOSER_MODEL,28,25.00,1
POOR,ARID,ABANDONED,0x51A7E5EED,CLOCKWISE_180,11,11,5,5,143,106,2,9,7,1,-5,5,-1,3,-5,5,11,11,0,STATIC_COMPOSER_MODEL,32,21.88,1
POOR,ROCKY,ABANDONED,0x51A7E5EED,CLOCKWISE_180,11,11,5,5,143,107,2,9,7,1,-5,5,-1,3,-5,5,11,11,0,STATIC_COMPOSER_MODEL,33,21.21,2
POOR,VOLCANIC,WEATHERED,0x51A7E5EED,CLOCKWISE_180,11,11,5,5,144,108,2,9,7,1,-5,5,-1,3,-5,5,11,11,0,STATIC_COMPOSER_MODEL,33,21.21,2
NORMAL,TEMPERATE,ACTIVE_RECENT,0x51A7E5EED,CLOCKWISE_180,13,13,6,5,227,171,3,15,12,2,-6,6,-1,3,-6,6,13,13,0,STATIC_COMPOSER_MODEL,45,26.67,0
NORMAL,CONIFER,ACTIVE_RECENT,0x51A7E5EED,CLOCKWISE_180,13,13,6,5,227,176,3,15,12,2,-6,6,-1,3,-6,6,13,13,0,STATIC_COMPOSER_MODEL,50,24.00,5
NORMAL,SNOWY,ACTIVE_RECENT,0x51A7E5EED,CLOCKWISE_180,13,13,6,5,227,175,3,15,12,2,-6,6,-1,3,-6,6,13,13,0,STATIC_COMPOSER_MODEL,49,24.49,4
NORMAL,WETLAND,ACTIVE_RECENT,0x51A7E5EED,CLOCKWISE_180,13,13,6,5,235,182,3,15,12,2,-6,6,-1,3,-6,6,13,13,0,STATIC_COMPOSER_MODEL,41,29.27,0
NORMAL,TROPICAL,WEATHERED,0x51A7E5EED,CLOCKWISE_180,13,13,6,5,237,186,3,15,12,2,-6,6,-1,3,-6,6,13,13,0,STATIC_COMPOSER_MODEL,43,27.91,2
NORMAL,ARID,ACTIVE_RECENT,0x51A7E5EED,CLOCKWISE_180,13,13,6,5,225,172,3,15,12,2,-6,6,-1,3,-6,6,13,13,0,STATIC_COMPOSER_MODEL,48,25.00,3
NORMAL,ROCKY,WEATHERED,0x51A7E5EED,CLOCKWISE_180,13,13,6,5,225,173,3,15,12,2,-6,6,-1,3,-6,6,13,13,0,STATIC_COMPOSER_MODEL,49,24.49,4
NORMAL,VOLCANIC,WEATHERED,0x51A7E5EED,CLOCKWISE_180,13,13,6,5,223,171,3,15,12,2,-6,6,-1,3,-6,6,13,13,0,STATIC_COMPOSER_MODEL,49,24.49,4
RICH,TEMPERATE,ACTIVE_RECENT,0x51A7E5EED,CLOCKWISE_180,15,15,7,7,326,235,3,21,18,2,-7,7,-1,5,-7,7,15,15,0,STATIC_COMPOSER_MODEL,68,26.47,0
RICH,CONIFER,ACTIVE_RECENT,0x51A7E5EED,CLOCKWISE_180,15,15,7,7,326,242,3,21,18,2,-7,7,-1,5,-7,7,15,15,0,STATIC_COMPOSER_MODEL,75,24.00,7
RICH,SNOWY,WEATHERED,0x51A7E5EED,CLOCKWISE_180,15,15,7,7,326,240,3,21,18,2,-7,7,-1,5,-7,7,15,15,0,STATIC_COMPOSER_MODEL,73,24.66,5
RICH,WETLAND,ACTIVE_RECENT,0x51A7E5EED,CLOCKWISE_180,15,15,7,7,346,255,3,21,18,2,-7,7,-1,5,-7,7,15,15,0,STATIC_COMPOSER_MODEL,64,28.13,0
RICH,TROPICAL,ACTIVE_RECENT,0x51A7E5EED,CLOCKWISE_180,15,15,7,7,348,259,3,21,18,2,-7,7,-1,5,-7,7,15,15,0,STATIC_COMPOSER_MODEL,66,27.27,2
RICH,ARID,WEATHERED,0x51A7E5EED,CLOCKWISE_180,15,15,7,7,324,237,3,21,18,2,-7,7,-1,5,-7,7,15,15,0,STATIC_COMPOSER_MODEL,72,25.00,4
RICH,ROCKY,ACTIVE_RECENT,0x51A7E5EED,CLOCKWISE_180,15,15,7,7,324,237,3,21,18,2,-7,7,-1,5,-7,7,15,15,0,STATIC_COMPOSER_MODEL,72,25.00,4
RICH,VOLCANIC,WEATHERED,0x51A7E5EED,CLOCKWISE_180,15,15,7,7,322,236,3,21,18,2,-7,7,-1,5,-7,7,15,15,0,STATIC_COMPOSER_MODEL,73,24.66,5
MOTHERLODE,TEMPERATE,ACTIVE_RECENT,0x51A7E5EED,CLOCKWISE_180,17,15,8,8,438,324,3,27,24,2,-7,7,-1,6,-7,7,15,15,0,STATIC_COMPOSER_MODEL,95,25.26,0
MOTHERLODE,CONIFER,WEATHERED,0x51A7E5EED,CLOCKWISE_180,17,15,8,8,438,333,3,27,24,2,-7,7,-1,6,-7,7,15,15,0,STATIC_COMPOSER_MODEL,104,23.08,9
MOTHERLODE,SNOWY,ACTIVE_RECENT,0x51A7E5EED,CLOCKWISE_180,17,15,8,8,438,330,3,27,24,2,-7,7,-1,6,-7,7,15,15,0,STATIC_COMPOSER_MODEL,101,23.76,6
MOTHERLODE,WETLAND,ACTIVE_RECENT,0x51A7E5EED,CLOCKWISE_180,17,15,8,8,469,355,3,27,24,2,-7,7,-1,6,-7,7,15,15,0,STATIC_COMPOSER_MODEL,91,26.37,0
MOTHERLODE,TROPICAL,ACTIVE_RECENT,0x51A7E5EED,CLOCKWISE_180,17,15,8,8,471,360,3,27,24,2,-7,7,-1,6,-7,7,15,15,0,STATIC_COMPOSER_MODEL,94,25.53,3
MOTHERLODE,ARID,WEATHERED,0x51A7E5EED,CLOCKWISE_180,17,15,8,8,436,327,3,27,24,2,-7,7,-1,6,-7,7,15,15,0,STATIC_COMPOSER_MODEL,100,24.00,5
MOTHERLODE,ROCKY,ACTIVE_RECENT,0x51A7E5EED,CLOCKWISE_180,17,15,8,8,436,326,3,27,24,2,-7,7,-1,6,-7,7,15,15,0,STATIC_COMPOSER_MODEL,99,24.24,4
MOTHERLODE,VOLCANIC,ACTIVE_RECENT,0x51A7E5EED,CLOCKWISE_180,17,15,8,8,434,326,3,27,24,2,-7,7,-1,6,-7,7,15,15,0,STATIC_COMPOSER_MODEL,101,23.76,6
